i,j,val
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,3,0.0
1,3,0.002
1,3,0.0312
1,3,0.0001
1,3,1.0
1,3,1.0
1,3,1.0
1,3,1.0
1,3,1.0
1,3,1.0
1,3,1.0
1,3,1.0
1,3,1.0
1,3,1.0
1,3,1.0
1,3,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,13,0.0
1,13,0.0107
1,13,0.1094
1,13,0.0001
1,13,1.0
1,13,1.0
1,13,1.0
1,13,1.0
1,13,1.0
1,13,1.0
1,13,1.0
1,13,1.0
1,13,1.0
1,13,1.0
1,13,1.0
1,13,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,14,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,15,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,16,1.0
1,17,1.0
1,17,1.0
1,17,1.0
1,17,1.0
1,17,1.0
1,17,1.0
1,17,1.0
1,17,1.0
