ID,dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),J(A1-A2),J(A1-A34),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),J(A3-A4),idk_A1,idk_A2,idk_A3,idk_A4,idk_A1*,idk_A1**,?A1=A1(ave),J_A1_ave,idk,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
A,overall,fixing,llama3.1:8b,0.1267,0.0267,0.155,0.1233,0.6133,0.0183,0.0217,0.0167,0.0267,,,,,,0.4549,0.3301,0.2397,0.1659,0.1602,0.18,0.1184,0.0,0.0017,0.0067,0.0,0.0,0.0017,0.0217,0.1687,0.0021,0.0,0.0001,0.0,0.0,1.0,0.0005
B,overall,fixing,gpt-oss:20b,0.5167,0.5033,0.6533,0.7267,0.71,0.5033,0.1833,0.2067,0.17,,,,,,0.6984,0.6445,0.6598,0.438,0.4591,0.4265,0.2831,0.1067,0.08,0.16,0.1867,0.11,0.1233,0.1867,0.4412,0.1334,0.0,0.0,0.0,0.0,0.0,0.0
C,overall,fixing,gpt-4.1-nano-2025-04-14,0.4333,0.2067,0.4017,0.48,0.3483,0.125,0.22,0.2283,0.3,,,,,,0.5521,0.3956,0.2666,0.3969,0.3992,0.4561,0.5045,0.1667,0.2067,0.2683,0.1333,0.1567,0.165,0.2494,0.4174,0.1937,0.0,0.0,0.0,0.0,0.55,0.0
D,overall,fixing,mistral-small:24b,0.6217,0.3633,0.5983,0.7367,0.6733,0.3467,0.375,0.3983,0.3883,,,,,,0.7313,0.5483,0.5367,0.6151,0.6206,0.624,0.301,0.1683,0.105,0.1917,0.1567,0.1667,0.155,0.3872,0.6199,0.1554,0.0,0.0,0.0,0.0,0.0,0.0
E,overall,fixing,llama3.1:70b,0.6033,0.4817,0.6883,0.7833,0.8167,0.4683,0.205,0.2217,0.2017,,,,,,0.7462,0.7081,0.6986,0.4652,0.4708,0.4595,0.1556,0.01,0.0483,0.0983,0.045,0.01,0.01,0.2095,0.4652,0.0504,0.0,0.0,0.0,0.0,0.0,0.0
F,overall,fixing,gemini-2.0-flash,0.7867,0.6967,0.835,0.8433,0.8767,0.6833,0.7583,0.7517,0.7283,,,,,,0.82,0.8377,0.8321,0.8673,0.8622,0.8495,0.1045,0.0167,0.0033,0.0133,0.085,0.0183,0.0183,0.7461,0.8597,0.0296,0.0,0.0,0.0,0.0,0.0,0.0
G,overall,fixing,gpt-4.1-mini-2025-04-14,0.7383,0.6083,0.8017,0.8583,0.7317,0.585,0.4,0.41,0.42,,,,,,0.8614,0.7408,0.7151,0.6781,0.6954,0.6818,0.2273,0.0517,0.06,0.1267,0.1117,0.0533,0.05,0.41,0.6851,0.0875,0.0,0.0,0.0,0.0,0.0,0.0
H,overall,fixing,gpt-4o,0.555,0.4417,0.545,0.58,0.5367,0.4283,0.2667,0.2717,0.2717,,,,,,0.6209,0.5166,0.4941,0.4419,0.446,0.4491,0.4528,0.32,0.3233,0.37,0.3417,0.3217,0.3233,0.27,0.4457,0.3388,0.0,0.0,0.0,0.0,0.0,0.0
I,overall,fixing,gpt-4.1-2025-04-14,0.7833,0.6817,0.8583,0.845,0.8433,0.67,0.48,0.49,0.4783,,,,,,0.8924,0.8181,0.8107,0.7483,0.7505,0.7443,0.1409,0.045,0.045,0.0733,0.1017,0.0467,0.0467,0.4828,0.7477,0.0662,0.0,0.0,0.0,0.0,0.0,0.0
J,overall,fixing,grok-3-mini,0.7917,0.6417,0.805,0.7717,0.7317,0.6383,0.34,0.32,0.335,,,,,,0.8547,0.7147,0.7168,0.5806,0.5691,0.5913,0.2633,0.0983,0.1033,0.1367,0.2,0.0817,0.085,0.3317,0.5803,0.1346,0.0,0.0,0.0,0.0,0.0,0.0
K,overall,fixing,deepseek-chat,0.7633,0.61,0.7783,0.815,0.7533,0.5867,0.4217,0.4467,0.4383,,,,,,0.8634,0.7395,0.7232,0.659,0.6726,0.6755,0.2329,0.0667,0.0633,0.1317,0.1383,0.0667,0.0667,0.4356,0.669,0.1,0.0,0.0,0.0,0.0,0.0,0.0
L,overall,fixing,gemini-2.5-flash,0.8517,0.7633,0.83,0.825,0.8383,0.76,0.6217,0.615,0.605,,,,,,0.8906,0.8011,0.8083,0.7456,0.7471,0.7387,0.1591,0.0767,0.045,0.0667,0.1317,0.075,0.08,0.6139,0.7438,0.08,0.0,0.0,0.0,0.0,0.0,0.0
M,overall,fixing,gpt-5-nano,0.475,0.36,0.4517,0.4583,0.4583,0.355,0.2583,0.2567,0.2383,,,,,,0.5331,0.4118,0.4157,0.388,0.3908,0.3855,0.534,0.4283,0.3767,0.3683,0.4767,0.42,0.4333,0.2511,0.3881,0.4125,0.0,0.0,0.0,0.0,0.0,0.0
N,overall,fixing,deepseek-reasoner,0.6583,0.5467,0.69,0.7883,0.8183,0.5267,0.1817,0.1667,0.1633,,,,,,0.8021,0.7483,0.7332,0.4432,0.4319,0.4299,0.1664,0.0467,0.0417,0.0883,0.0733,0.0433,0.0433,0.1706,0.435,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
O,overall,fixing,gemini-2.5-pro,0.7283,0.57,0.66,0.755,0.7883,0.57,0.4133,0.44,0.3967,,,,,,0.8013,0.6618,0.6767,0.598,0.6322,0.5967,0.2106,0.115,0.085,0.11,0.11,0.16,0.1033,0.4167,0.609,0.105,0.0,0.0,0.0,0.0,0.0,0.0
P,overall,fixing,gpt-5-mini,0.405,0.35,0.3867,0.4233,0.4083,0.3467,0.225,0.2367,0.2367,,,,,,0.4504,0.375,0.3771,0.3289,0.3465,0.3543,0.5908,0.5117,0.4833,0.5183,0.4883,0.51,0.4917,0.2328,0.3432,0.5004,0.0,0.0,0.0,0.0,0.0,0.0
Q,overall,fixing,o3,0.6067,0.6533,0.775,0.76,0.8117,0.6483,0.265,0.2483,0.275,,,,,,0.7818,0.7547,0.7478,0.5236,0.5216,0.5275,0.1861,0.1567,0.1333,0.11,0.155,0.14,0.1433,0.2628,0.5242,0.1388,0.0,0.0,0.0,0.0,0.0,0.0
R,overall,fixing,gpt-5,0.5767,0.5383,0.6017,0.59,0.5867,0.5367,0.33,0.3183,0.3017,,,,,,0.6361,0.565,0.5694,0.4959,0.488,0.4739,0.4133,0.3383,0.3417,0.3267,0.3767,0.3533,0.3467,0.3167,0.4859,0.3458,0.0,0.0,0.0,0.0,0.0005,0.0
