QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	1.0	0	1
1	0.375	0	0
2	0.25	0	0
3	0.22727272727272727	0	1
4	0.25	0	0
5	0.6666666666666666	0	1
6	0.8	0	1
7	0.75	0	1
8	1.0	0	1
9	0.0	0	0
10	0.29411764705882354	0	0
11	1.0	0	1
12	1.0	0	1
13	0.0	0	0
14	0.38461538461538464	0	0
15	1.0	0	1
16	0.6666666666666666	0	1
17	0.3333333333333333	0	1
18	0.6666666666666666	0	0
19	0.3333333333333333	0	1
20	0.6666666666666666	0	1
21	1.0	0	1
22	0.36363636363636365	0	0
23	0.6	0	0
24	0.23076923076923078	0	0
25	0.2222222222222222	0	1
26	1.0	0	1
27	0.23076923076923078	0	0
28	0.9090909090909091	0	0
29	0.024390243902439025	0	1
30	0.0	1	1
31	0.3684210526315789	0	0
32	0.09090909090909091	0	0
33	0.31666666666666665	0	0
34	1.0	0	1
35	0.5	0	0
36	0.6666666666666666	0	1
37	0.7777777777777778	0	0
38	0.2	0	0
39	0.6666666666666666	0	1
40	0.5294117647058824	0	0
41	0.0	0	0
42	0.25	0	1
43	0.5454545454545454	0	0
44	0.13793103448275862	0	1
45	0.3	0	0
46	0.42857142857142855	0	0
47	0.6818181818181818	0	1
48	1.0	0	1
49	0.0	1	1
50	0.0	0	0
51	0.7272727272727273	0	0
52	0.8	0	1
53	0.5	0	1
54	0.5555555555555556	0	0
55	1.0	0	1
56	0.8571428571428571	0	1
57	0.6	0	1
58	0.375	0	0
59	0.8571428571428571	0	0
60	1.0	0	1
61	0.8571428571428571	0	1
62	1.0	0	1
63	0.36363636363636365	0	1
64	0.6	0	1
65	0.3157894736842105	0	0
66	0.6	0	0
67	0.7777777777777778	0	0
68	0.75	0	1
69	0.65	0	1
70	0.5	0	1
71	0.5	0	1
72	0.42857142857142855	0	1
73	1.0	0	1
74	0.38461538461538464	0	1
75	0.7	0	1
76	0.3333333333333333	0	1
77	0.6	0	1
78	0.3333333333333333	0	1
79	0.375	0	1
80	0.25	0	0
81	0.3333333333333333	0	0
82	0.9285714285714286	0	0
83	0.3	0	0
84	0.3333333333333333	0	1
85	0.0625	0	0
86	1.0	0	1
87	0.0	0	0
88	1.0	0	1
89	1.0	0	1
90	0.5	0	0
91	0.5	0	1
92	0.6666666666666666	0	0
93	0.02702702702702703	0	0
94	0.6	0	1
95	0.5	0	1
96	0.6666666666666666	0	1
97	0.0	0	0
98	0.36363636363636365	0	1
99	0.7142857142857143	0	1
100	0.4	0	0
101	0.25	0	0
102	0.13043478260869565	0	1
103	0.5555555555555556	0	0
104	0.3333333333333333	0	1
105	0.24285714285714285	0	1
106	0.08333333333333333	0	0
107	0.0	0	0
108	0.6875	0	0
109	0.625	0	1
110	0.6666666666666666	0	0
111	0.3	0	1
112	0.6666666666666666	0	1
113	0.6363636363636364	0	1
114	0.0	1	1
115	0.8	0	1
116	0.4444444444444444	0	1
117	0.0	0	0
118	0.25	0	1
119	0.625	0	0
120	0.14285714285714285	0	1
121	1.0	0	1
122	0.0	0	0
123	0.5714285714285714	0	0
124	0.4	0	1
125	0.0	0	1
126	0.3	0	0
127	0.0	0	0
128	1.0	0	1
129	0.5	0	1
130	0.03125	0	0
131	0.6666666666666666	0	1
132	0.14285714285714285	0	0
133	0.0	0	0
134	0.3333333333333333	0	1
135	0.0	0	1
136	0.3333333333333333	0	0
137	0.1111111111111111	0	0
138	0.75	0	0
139	1.0	0	1
140	0.0	1	1
141	0.18181818181818182	0	1
142	0.25	0	1
143	0.09090909090909091	0	0
144	0.4	0	1
145	1.0	0	1
146	0.375	0	0
147	0.3333333333333333	0	1
148	0.5625	0	0
149	0.5714285714285714	0	1
