QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	0.8	0	0
1	1.0	0	1
2	0.6	0	0
3	0.6956521739130435	0	0
4	0.75	0	0
5	0.6666666666666666	0	0
6	1.0	0	1
7	0.8	0	0
8	1.0	0	1
9	0.3333333333333333	0	0
10	1.0	0	1
11	1.0	0	1
12	1.0	0	1
13	0.0	0	0
14	0.3333333333333333	0	0
15	0.5	0	0
16	1.0	0	1
17	1.0	0	1
18	0.7	0	0
19	1.0	0	1
20	1.0	0	1
21	1.0	0	1
22	1.0	0	1
23	1.0	0	1
24	0.8461538461538461	0	0
25	0.9090909090909091	0	0
26	1.0	0	1
27	0.5789473684210527	0	0
28	1.0	0	1
29	1.0	0	1
30	0.0	0	0
31	0.6111111111111112	0	0
32	0.08333333333333333	0	0
33	1.0	0	1
34	1.0	0	1
35	1.0	0	1
36	1.0	0	1
37	1.0	0	1
38	0.0	0	0
39	1.0	0	1
40	1.0	0	1
41	0.25	0	0
42	0.6363636363636364	0	0
43	0.5	0	0
44	0.11382113821138211	0	0
45	0.9285714285714286	0	0
46	1.0	0	1
47	1.0	0	1
48	0.5	0	0
49	0.11363636363636363	0	0
50	0.3333333333333333	0	0
51	1.0	0	1
52	1.0	0	1
53	0.7142857142857143	0	0
54	0.7692307692307693	0	0
55	1.0	0	1
56	1.0	0	1
57	1.0	0	1
58	1.0	0	1
59	1.0	0	1
60	1.0	0	1
61	1.0	0	1
62	0.8571428571428571	0	0
63	0.6666666666666666	0	0
64	1.0	0	1
65	0.8181818181818182	0	0
66	0.8	0	0
67	0.5714285714285714	0	0
68	1.0	0	1
69	0.11764705882352941	0	0
70	1.0	0	1
71	0.4	0	0
72	0.3	0	0
73	1.0	0	1
74	0.6363636363636364	0	0
75	1.0	0	1
76	1.0	0	1
77	1.0	0	1
78	0.8571428571428571	0	0
79	1.0	0	1
80	1.0	0	1
81	0.5	0	0
82	1.0	0	1
83	0.08333333333333333	0	0
84	0.8	0	0
85	0.3181818181818182	0	0
86	1.0	0	1
87	1.0	0	1
88	1.0	0	1
89	1.0	0	1
90	0.25	0	0
91	1.0	0	1
92	1.0	0	1
93	0.26666666666666666	0	0
94	0.6470588235294118	0	0
95	0.3333333333333333	0	0
96	1.0	0	1
97	0.018229166666666668	0	0
98	0.8571428571428571	0	0
99	1.0	0	1
100	0.1111111111111111	0	0
101	0.3333333333333333	0	0
102	0.8947368421052632	0	0
103	0.0	0	0
104	0.56	0	0
105	1.0	0	1
106	1.0	0	1
107	0.5	0	0
108	0.9444444444444444	0	0
109	0.8333333333333334	0	0
110	1.0	0	1
111	0.6666666666666666	0	0
112	0.75	0	0
113	1.0	0	1
114	0.18181818181818182	0	0
115	0.75	0	0
116	1.0	0	1
117	1.0	0	1
118	0.4857142857142857	0	0
119	1.0	0	1
120	0.8333333333333334	0	0
121	0.7777777777777778	0	0
122	1.0	0	1
123	0.1794871794871795	0	0
124	0.5	0	0
125	0.4	0	0
126	0.4375	0	0
127	0.45454545454545453	0	0
128	0.7857142857142857	0	0
129	1.0	0	1
130	0.11956521739130435	0	0
131	1.0	0	1
132	0.5714285714285714	0	0
133	1.0	0	1
134	1.0	0	1
135	0.75	0	0
136	0.25	0	0
137	0.5714285714285714	0	0
138	1.0	0	1
139	0.5	0	0
140	0.6666666666666666	0	0
141	0.8181818181818182	0	0
142	1.0	0	1
143	0.42857142857142855	0	0
144	0.8181818181818182	0	0
145	0.8	0	0
146	0.5272727272727272	0	0
147	0.6666666666666666	0	0
148	0.0	0	0
149	0.42857142857142855	0	0
