llm,dataset,relation,True,Accuracy,Size,Equivalence,Contains,ContainedBy,Overlap,Disjoint,Unknown,Else
deepseek-chat,LC-QuAD,R(1-2),Equivalence,0.9267(139),150,0.9267(139),0.0000(0),0.0000(0),0.0600(9),0.0000(0),0.0133(2),0.0000(0)
deepseek-chat,LC-QuAD,R(1-3),Contains,0.3267(49),150,0.0000(0),0.3267(49),0.5933(89),0.0533(8),0.0267(4),0.0000(0),0.0000(0)
deepseek-chat,LC-QuAD,R(1-4),Contains,0.2067(31),150,0.0067(1),0.2067(31),0.0867(13),0.5333(80),0.1667(25),0.0000(0),0.0000(0)
deepseek-chat,LC-QuAD,R(3-4),Disjoint,0.9867(148),150,0.0000(0),0.0000(0),0.0067(1),0.0067(1),0.9867(148),0.0000(0),0.0000(0)
deepseek-chat,LC-QuAD,R(1-34),Equivalence,0.8800(132),150,0.8800(132),0.0133(2),0.0067(1),0.0200(3),0.0800(12),0.0000(0),0.0000(0)
deepseek-chat,qawiki,R(1-2),Equivalence,0.9800(147),150,0.9800(147),0.0000(0),0.0000(0),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
deepseek-chat,qawiki,R(1-3),Contains,0.2333(35),150,0.0067(1),0.2333(35),0.7400(111),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
deepseek-chat,qawiki,R(1-4),Contains,0.2067(31),150,0.0000(0),0.2067(31),0.0333(5),0.5867(88),0.1733(26),0.0000(0),0.0000(0)
deepseek-chat,qawiki,R(3-4),Disjoint,1.0000(150),150,0.0000(0),0.0000(0),0.0000(0),0.0000(0),1.0000(150),0.0000(0),0.0000(0)
deepseek-chat,qawiki,R(1-34),Equivalence,0.9267(139),150,0.9267(139),0.0133(2),0.0000(0),0.0133(2),0.0467(7),0.0000(0),0.0000(0)
deepseek-chat,spinach,R(1-2),Equivalence,0.9733(146),150,0.9733(146),0.0000(0),0.0000(0),0.0200(3),0.0000(0),0.0067(1),0.0000(0)
deepseek-chat,spinach,R(1-3),Contains,0.4267(64),150,0.0067(1),0.4267(64),0.5067(76),0.0600(9),0.0000(0),0.0000(0),0.0000(0)
deepseek-chat,spinach,R(1-4),Contains,0.1933(29),150,0.0000(0),0.1933(29),0.0467(7),0.5333(80),0.2267(34),0.0000(0),0.0000(0)
deepseek-chat,spinach,R(3-4),Disjoint,0.9933(149),150,0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.9933(149),0.0000(0),0.0000(0)
deepseek-chat,spinach,R(1-34),Equivalence,0.9000(135),150,0.9000(135),0.0000(0),0.0067(1),0.0200(3),0.0733(11),0.0000(0),0.0000(0)
deepseek-chat,synthetic,R(1-2),Equivalence,0.9600(144),150,0.9600(144),0.0000(0),0.0000(0),0.0267(4),0.0133(2),0.0000(0),0.0000(0)
deepseek-chat,synthetic,R(1-3),Contains,0.4333(65),150,0.0133(2),0.4333(65),0.5067(76),0.0333(5),0.0133(2),0.0000(0),0.0000(0)
deepseek-chat,synthetic,R(1-4),Contains,0.2267(34),150,0.0000(0),0.2267(34),0.0400(6),0.4933(74),0.2400(36),0.0000(0),0.0000(0)
deepseek-chat,synthetic,R(3-4),Disjoint,0.9933(149),150,0.0067(1),0.0000(0),0.0000(0),0.0000(0),0.9933(149),0.0000(0),0.0000(0)
deepseek-chat,synthetic,R(1-34),Equivalence,0.9133(137),150,0.9133(137),0.0000(0),0.0000(0),0.0133(2),0.0733(11),0.0000(0),0.0000(0)
deepseek-reasoner,LC-QuAD,R(1-2),Equivalence,0.9267(139),150,0.9267(139),0.0133(2),0.0200(3),0.0067(1),0.0200(3),0.0133(2),0.0000(0)
deepseek-reasoner,LC-QuAD,R(1-3),Contains,0.9800(147),150,0.0000(0),0.9800(147),0.0133(2),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
deepseek-reasoner,LC-QuAD,R(1-4),Contains,0.9800(147),150,0.0067(1),0.9800(147),0.0000(0),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
deepseek-reasoner,LC-QuAD,R(3-4),Disjoint,0.9667(145),150,0.0000(0),0.0200(3),0.0000(0),0.0000(0),0.9667(145),0.0133(2),0.0000(0)
deepseek-reasoner,LC-QuAD,R(1-34),Equivalence,0.9200(138),150,0.9200(138),0.0333(5),0.0333(5),0.0000(0),0.0067(1),0.0067(1),0.0000(0)
deepseek-reasoner,qawiki,R(1-2),Equivalence,0.8533(128),150,0.8533(128),0.0333(5),0.1067(16),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
deepseek-reasoner,qawiki,R(1-3),Contains,0.9667(145),150,0.0200(3),0.9667(145),0.0000(0),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
deepseek-reasoner,qawiki,R(1-4),Contains,0.9667(145),150,0.0067(1),0.9667(145),0.0000(0),0.0000(0),0.0200(3),0.0067(1),0.0000(0)
deepseek-reasoner,qawiki,R(3-4),Disjoint,0.9600(144),150,0.0000(0),0.0067(1),0.0000(0),0.0200(3),0.9600(144),0.0133(2),0.0000(0)
deepseek-reasoner,qawiki,R(1-34),Equivalence,0.9533(143),150,0.9533(143),0.0200(3),0.0067(1),0.0000(0),0.0133(2),0.0067(1),0.0000(0)
